Accession	ID/Symbol	# of abstracts	abstract list
MI0000060	hsa-let-7a-1	139	16530703;17128272;17220301;17554199;17569129;17900631;18025090;18089790;18583325;19229243;19304520;19398578;19445940;19508234;19787239;20097187;20134314;20351193;20403586;20576643;20614490;20809749;20848182;21097396;21148031;21247883;21285251;21327300;21346145;21349817;21368581;21386827;21442230;21468581;21472213;21518763;21602527;21663977;21898693;21929751;22018986;22027761;22139073;22155254;22251626;22289526;22296229;22312311;22596182;22675043;22788411;22894918;22924844;22965940;22968827;22970209;22972404;23032975;23101954;23134218;23136618;23184091;23246221;23265735;23349018;23480766;23509348;23519840;23566834;23600457;23618193;23676502;23700384;23708208;23762388;23860321;23936455;23974362;23979166;24004569;24036903;24092860;24094113;24100239;24138945;24172884;24200066;24293999;24364819;24383407;24463077;24480926;24530178;24563463;24586594;24643702;24648290;24655378;24703161;24728517;24778252;24781267;24853424;24903889;24937531;24942235;24947843;24989260;25077964;25130484;25269744;25270599;25299733;25356523;25394245;25395314;25405753;25445393;25487315;25517466;25539644;25598229;25630839;25647078;25655238;25670082;25722370;25759134;25802847;25884389;25955298;26049093;26051842;26151775;26227320;26277505;26451606;26898455;26962302;
MI0000061	hsa-let-7a-2	137	16530703;17128272;17220301;17554199;17569129;17900631;18025090;18089790;18583325;19229243;19304520;19398578;19445940;19508234;19787239;20097187;20134314;20351193;20403586;20576643;20614490;20809749;20848182;21097396;21148031;21247883;21285251;21327300;21346145;21349817;21368581;21386827;21442230;21468581;21472213;21518763;21602527;21663977;21898693;21929751;22018986;22027761;22155254;22251626;22289526;22296229;22596182;22675043;22788411;22894918;22924844;22965940;22968827;22970209;22972404;23032975;23101954;23134218;23136618;23184091;23246221;23265735;23349018;23480766;23509348;23519840;23566834;23600457;23618193;23676502;23700384;23708208;23762388;23860321;23936455;23974362;23979166;24004569;24036903;24092860;24094113;24100239;24138945;24172884;24200066;24293999;24364819;24383407;24463077;24480926;24530178;24563463;24586594;24643702;24648290;24655378;24703161;24728517;24778252;24781267;24853424;24903889;24937531;24942235;24947843;24989260;25077964;25130484;25269744;25270599;25299733;25356523;25394245;25395314;25405753;25445393;25487315;25517466;25539644;25598229;25630839;25647078;25655238;25670082;25722370;25759134;25802847;25884389;25955298;26049093;26051842;26151775;26227320;26277505;26451606;26898455;26962302;
MI0000062	hsa-let-7a-3	137	16530703;17128272;17220301;17554199;17569129;17900631;18025090;18089790;18583325;19229243;19304520;19398578;19445940;19508234;19787239;20097187;20134314;20351193;20403586;20576643;20614490;20809749;20848182;21097396;21148031;21247883;21285251;21327300;21346145;21349817;21368581;21386827;21442230;21468581;21472213;21518763;21602527;21663977;21898693;21929751;22018986;22027761;22155254;22251626;22289526;22296229;22596182;22675043;22788411;22894918;22924844;22965940;22968827;22970209;22972404;23032975;23101954;23134218;23136618;23184091;23246221;23265735;23349018;23480766;23509348;23519840;23566834;23600457;23618193;23676502;23700384;23708208;23762388;23860321;23936455;23974362;23979166;24004569;24036903;24092860;24094113;24100239;24138945;24172884;24200066;24293999;24364819;24383407;24463077;24480926;24530178;24563463;24586594;24643702;24648290;24655378;24703161;24728517;24778252;24781267;24853424;24903889;24937531;24942235;24947843;24989260;25077964;25130484;25269744;25270599;25299733;25356523;25394245;25395314;25405753;25445393;25487315;25517466;25539644;25598229;25630839;25647078;25655238;25670082;25722370;25759134;25802847;25884389;25955298;26049093;26051842;26151775;26227320;26277505;26451606;26898455;26962302;
MI0000063	hsa-let-7b	94	14970384;18026111;18056805;18400113;18477892;18983959;19351815;19428708;19654583;19846888;19850715;20130213;20228781;20423455;20499100;20881268;21242186;21571357;21586588;21637849;21768364;21809347;22047531;22294324;22348345;22391672;22513850;22683924;22761738;22821209;22884882;22918121;23029111;23162627;23236408;23249809;23342275;23391324;23437218;23464461;23469087;23542579;23597742;23601657;23774803;23806108;23865864;24074714;24088962;24129674;24228136;24237608;24297460;24326307;24521778;24576011;24607549;24698267;24810113;24866018;24978044;24982912;24983365;25028925;25225797;25273528;25274331;25288334;25292198;25327364;25333670;25433550;25451482;25510669;25588203;25605008;25613480;25656572;25679326;25744272;25779425;25788763;25868368;25931475;26002992;26258540;26293217;26296645;26348824;26418476;26421388;26609473;26657066;26945012;
MI0000064	hsa-let-7c	78	17438130;17674361;17690133;17891175;18006136;18188765;18387358;18523997;18802929;19289845;19370508;19372056;19734068;19749800;19897480;20736742;21037022;21081842;21123372;21166724;21255804;21984339;22024720;22102901;22245693;22294845;22348345;22392036;22433309;22452878;23059500;23101954;23116342;23298838;23464461;23503464;23520204;23534758;23562878;23747919;23778407;23799849;23838916;23850892;23880305;24071828;24143215;24268810;24365598;24400442;24503111;24521639;24637061;24751144;24769441;24866763;25069446;25074381;25085843;25122196;25127724;25215948;25388283;25445350;25498275;25521481;25663883;25717002;25740013;25909324;25931475;25990459;26063583;26066857;26118177;26645212;26786119;26945572;
MI0000065	hsa-let-7d	33	19703567;20395557;20410187;20873592;21266476;21266788;21307844;21548940;21666788;21692035;22315424;22384141;22699519;23268403;23391324;23464461;23773985;24104965;24223986;24238045;24241494;24345425;24356076;24441869;24475180;24577456;25212824;25627125;25686498;25738263;25825351;26679758;26895224;
MI0000066	hsa-let-7e	35	18356149;19846888;20881268;21213367;21572098;21629653;21690488;21924071;22262659;22367372;22376254;22472564;22618509;23079871;23282077;23408392;23704072;23813959;24100610;24129592;24205155;24241494;24257477;24499489;24515954;24945821;25165856;25601191;25683944;25832031;25837765;25912736;25970317;26238163;26826505;
MI0000067	hsa-let-7f-1	37	18627289;19259417;20180642;20354523;21098710;21148031;21508257;21914171;22110251;22223664;22262659;22407818;22840365;22997154;23042301;23144465;23295297;23434382;23723366;23745809;23904007;24062196;24067109;24223734;24278297;24405266;24937531;24958851;25014664;25182819;25473826;25710930;25735962;25815883;26242299;26750768;26847233;
MI0000068	hsa-let-7f-2	37	18627289;19259417;20180642;20354523;21098710;21148031;21508257;21914171;22110251;22223664;22262659;22407818;22840365;22997154;23042301;23144465;23295297;23434382;23723366;23745809;23904007;24062196;24067109;24223734;24278297;24405266;24937531;24958851;25014664;25182819;25473826;25710930;25735962;25815883;26242299;26750768;26847233;
MI0000069	hsa-mir-15a	223	12434020;14973191;15648093;16166262;16204133;16251535;16323427;16616063;17351108;17554199;17624268;17727326;17936263;18246537;18281475;18348159;18362358;18449891;18708755;18818396;18820673;18931683;18949056;18949060;19106636;19109256;19117988;19148136;19342876;19347735;19349863;19381257;19401561;19498445;19507501;19515934;19549910;19591824;19714650;19721432;19723889;19779621;19823025;19841262;19883312;19903841;19908170;20013340;20031211;20039279;20060366;20068100;20071661;20129242;20201611;20393129;20621999;20622877;20671120;20687796;20711193;20839343;20863894;20876285;20884628;20947517;21055156;21056550;21093163;21106054;21118128;21146880;21156224;21205891;21340045;21390519;21454377;21472816;21532615;21534877;21563233;21575235;21629246;21666870;21693768;21712053;21778430;21838537;21862971;21880628;21881595;21936961;21980237;22002311;22033921;22049078;22096249;22133358;22139073;22249219;22335947;22348968;22429968;22431542;22449094;22463747;22564678;22574716;22645320;22684875;22701882;22781767;22856663;22868808;22922827;22942255;23104180;23136618;23152777;23176145;23217399;23233752;23248315;23307249;23325924;23353574;23416953;23454749;23487264;23557329;23590253;23593011;23608884;23638178;23649629;23803556;23821659;23822153;23867820;23867991;23900351;23954351;23963825;23974981;23995789;24016566;24026141;24043355;24089558;24148817;24252251;24274264;24285725;24342208;24352679;24379358;24392455;24455723;24481955;24485087;24500260;24530761;24704828;24710569;24727092;24732594;24885794;24887070;24892627;24971479;25033200;25040181;25069510;25092124;25103110;25130738;25146723;25169552;25261849;25305447;25403480;25405832;25414126;25418933;25442346;25540364;25550542;25575767;25594541;25623762;25665638;25683944;25713380;25738367;25743273;25761682;25768906;25776476;25778888;25825351;25832031;25858286;25874488;25945419;25973030;25993295;26090578;26117022;26261520;26268657;26324892;26440600;26456833;26497405;26562549;26581909;26631117;26678043;26683209;26722459;26786119;26885038;26959643;
